Length of Username,Is Professional Account,Country Block_1,Country Block_2,Number of Followers,Number of Posts,Percentage of Following,Is Business Account,Class,Is Verified,Is Private,Sex,Is Joined Recently,Number of Video Posts,Length of Biography,Mean Post Likes,Number of Mutual Followers
0.5264227017697235,0.0,0.0,0.0,0.2758964713196661,0.620474149752783,0.8542460168560704,0.0,1,0,0,1,0,15.60643710613326,47.89450988026579,-18.765631980981443,0.0585188175572763
0.6133793261120757,1.0,0.0,0.0,0.3590771045753491,0.5696805281822034,0.7430945559590951,1.0,0,0,0,1,0,12.701944235368114,103.53521448902792,99.68949963113975,60.1163094943288
0.4189188695332005,1.0,0.0,0.0,0.4306539875210258,0.5791319934450038,0.8456418486009737,1.0,1,1,1,1,1,40.11996741298388,54.18060014449786,5.263986674032228,15.159825222293607
0.5014123869578866,0.0,0.0,0.0,0.3002144478478046,0.6278348429992735,0.785088767075409,0.0,1,0,1,0,0,35.43924168082934,66.47470267009543,113.99095479272565,18.05169964016505
0.582644079258329,0.0,0.0,0.0,0.4145854381187772,0.538382247744325,0.7780695826336421,0.0,0,0,0,1,0,16.774876524978296,46.81570428239816,55.14117238481301,57.36473553562391
0.4852089698369606,1.0,0.0,0.0,0.4145207153611533,0.5597947784312898,0.7375187535257897,0.0,1,1,0,0,0,5.415153930539201,170.03813558730403,-96.06239398993571,5.930421094830702
0.5259917425870996,0.0,0.0,0.0,0.3667639935359316,0.6598963239545859,0.7655586254191046,0.0,0,0,0,1,0,43.0020305087118,78.33126088910021,85.16385949754206,88.23312021057554
0.4757981539073341,1.0,0.0,0.0,0.4321781626757341,0.5552310733016323,0.8124452234753589,0.0,0,1,0,0,0,-36.18192826929781,55.94288717908225,106.20191527189648,69.58470398953571
0.3833927064705563,0.0,0.0,0.0,0.3859544739840407,0.5336413751000464,0.7882671247541698,0.0,0,1,0,1,0,22.312855866104087,27.217796750786185,82.67610851516174,20.68246616480076
0.5263641643461189,0.0,0.0,0.0,0.1970000903060207,0.6518945680293954,0.8722257198556957,0.0,0,0,0,1,1,25.714899135363115,104.40932941527268,107.79438190330684,35.18301220382475
