Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
23,D$_5$,F1,1,-0.938352131871752,Distance,Standard
23,D$_7$,F1,2,-0.9052078766307748,Distance,Standard
23,He$_{max}$,F1,3,-0.8652408229187976,Baseline,Standard
23,He$_{mean}$,F1,4,-0.8645351874964639,Baseline,Standard
23,D$_{12}$,F1,5,-0.4990762528214026,Distance,Standard
23,Hi$_{max}$,F1,6,-0.4091939896836274,Baseline,Standard
23,Hi$_{mean}$,F1,7,-0.3192534795523242,Baseline,Standard
23,D$_1$,F1,8,-0.2514983712653065,Distance,Standard
23,D$_{10}$,F1,9,0.1330818275863505,Distance,Standard
23,D$_2$,F1,10,0.4427925340865942,Distance,Standard
23,D$_4$,F1,11,0.4574415025945442,Distance,Standard
23,D$_9$,F1,12,0.486552412070576,Distance,Standard
23,D$_6$,F1,13,0.4880603087809013,Distance,Standard
23,D$_{11}$,F1,14,0.4979543639971872,Distance,Standard
23,D$_3$,F1,15,0.4999169182192608,Distance,Standard
23,D$_8$,F1,16,0.8479843598995086,Distance,Standard
