Length of Username,Sex,Is Professional Account,Country Block_1,Country Block_2,Number of Followers,Is Joined Recently,Number of Posts,Number of Mutual Followers,Percentage of Following,Is Business Account,Number of Video Posts,Class,Is Verified,Is Private,Mean Post Likes,Length of Biography
0.4740290185500627,1.0,1.0,0.0,1.0,0.4032160704041366,1.0,0.6113067446939813,0.4845627497412377,0.8132280764612971,1.0,0.5221209629145498,0,1,0,-79.72293861017876,-13.160386077764826
0.5889378974879327,0.0,0.0,0.0,0.0,0.3887195043387902,1.0,0.5448909387264628,0.4456460244683511,0.7594419515537628,0.0,0.6358658483264937,1,1,0,24.59516059370416,132.88468979262674
0.420083520435777,1.0,1.0,0.0,0.0,0.1333010825579782,1.0,0.8653292747774681,0.4205874116942004,0.7941193755613978,0.0,0.6995420794313746,1,1,0,-1.5691315538018422,12.635538933308505
0.4280064141393227,1.0,0.0,0.0,0.0,0.3911633710211933,1.0,0.6942372812709242,0.4322946606688701,0.7642645800627832,0.0,0.574556642902096,0,1,1,-13.827581643429273,76.43041044182296
0.4239014762139483,0.0,0.0,0.0,0.0,0.3864028338215898,1.0,0.6430898824054081,0.5299581829997291,0.7372400801440031,1.0,0.5922839428854131,0,1,1,27.9025742672875,183.35185920120057
0.4622591122364325,0.0,0.0,0.0,0.0,0.4309312893655626,0.0,0.7535909126823863,0.5303698008587749,0.7414812200321206,0.0,0.5765075291650291,0,1,1,39.8103634327033,-144.4412381678747
0.4416387893025189,1.0,0.0,0.0,0.0,0.4462052631340248,1.0,0.6782259528535362,0.3665142226190794,0.7341458331841466,1.0,0.503085539913972,0,0,0,-8.57079995226119,52.06844798778752
0.4134143667869994,0.0,0.0,0.0,0.0,0.2455574835521364,1.0,0.7003594013251195,0.5204982644864641,0.8607415904244972,0.0,0.5383395962479102,1,1,1,-67.66406567306632,29.0248608540316
0.4361530985483027,0.0,0.0,0.0,0.0,0.3428406565369757,1.0,0.5564433612389844,0.4556564008657467,0.7265220594083998,0.0,0.643062420106944,1,1,0,-18.608009306652043,29.581697014294534
0.3812137314334037,0.0,0.0,0.0,0.0,0.3016820657665026,1.0,0.5834450912813928,0.5416205615197806,0.7827381197857239,0.0,0.4487391039759445,0,1,0,68.73834757764374,93.03855167334548
