Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
9,D$_9$,F1,1,-0.9999393539593636,Distance,Standard
9,D$_{10}$,F1,2,-0.9984872388353772,Distance,Standard
9,D$_{12}$,F1,3,-0.9981091585331364,Distance,Standard
9,D$_7$,F1,4,-0.997963656866778,Distance,Standard
9,D$_3$,F1,5,-0.9979133689490162,Distance,Standard
9,D$_{11}$,F1,6,-0.9976280966879174,Distance,Standard
9,D$_5$,F1,7,-0.9974240181553072,Distance,Standard
9,D$_4$,F1,8,-0.9973502890526498,Distance,Standard
9,D$_2$,F1,9,-0.9971421211893986,Distance,Standard
9,D$_6$,F1,10,-0.996836364515594,Distance,Standard
9,D$_8$,F1,11,-0.9823389498234488,Distance,Standard
9,He$_{max}$,F1,12,-0.9781801756551224,Baseline,Standard
9,He$_{mean}$,F1,13,-0.977287980620284,Baseline,Standard
9,D$_1$,F1,14,-0.9754095266950868,Distance,Standard
9,Hi$_{mean}$,F1,15,-0.9406899184258544,Baseline,Standard
9,Hi$_{max}$,F1,16,-0.9352146964390112,Baseline,Standard
