Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
10,D$_5$,F1,1,-1.0,Distance,Standard
10,D$_7$,F1,2,-1.0,Distance,Standard
10,D$_{10}$,F1,3,-1.0,Distance,Standard
10,D$_{12}$,F1,4,-1.0,Distance,Standard
10,D$_2$,F1,5,-0.9999903023682924,Distance,Standard
10,D$_4$,F1,6,-0.9999896476093666,Distance,Standard
10,D$_6$,F1,7,-0.9999887549398928,Distance,Standard
10,D$_8$,F1,8,-0.9999295437891444,Distance,Standard
10,D$_{11}$,F1,9,-0.9997164106888324,Distance,Standard
10,D$_3$,F1,10,-0.9996480056447404,Distance,Standard
10,D$_9$,F1,11,-0.9990548266176292,Distance,Standard
10,D$_1$,F1,12,-0.9985384253595866,Distance,Standard
10,Hi$_{mean}$,F1,13,-0.7637632342432434,Baseline,Standard
10,He$_{max}$,F1,14,-0.5812248321746128,Baseline,Standard
10,Hi$_{max}$,F1,15,-0.5647090971431866,Baseline,Standard
10,He$_{mean}$,F1,16,-0.5299652188271617,Baseline,Standard
