Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
8,D$_8$,F1,1,-0.9925652229471116,Distance,Standard
8,He$_{max}$,F1,2,-0.9923469445031046,Baseline,Standard
8,He$_{mean}$,F1,3,-0.9922000206365542,Baseline,Standard
8,D$_6$,F1,4,-0.9914874171981573,Distance,Standard
8,D$_{11}$,F1,5,-0.9914480829329132,Distance,Standard
8,D$_4$,F1,6,-0.991428533674386,Distance,Standard
8,D$_2$,F1,7,-0.9914017772856696,Distance,Standard
8,D$_3$,F1,8,-0.9913970365901368,Distance,Standard
8,D$_7$,F1,9,-0.991331310411808,Distance,Standard
8,D$_5$,F1,10,-0.99132559811395,Distance,Standard
8,D$_{12}$,F1,11,-0.9910501006004536,Distance,Standard
8,D$_{10}$,F1,12,-0.9909295046690708,Distance,Standard
8,D$_9$,F1,13,-0.99023403247,Distance,Standard
8,Hi$_{mean}$,F1,14,-0.954571865927911,Baseline,Standard
8,Hi$_{max}$,F1,15,-0.9461233135333276,Baseline,Standard
8,D$_1$,F1,16,-0.8192486882985797,Distance,Standard
