Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
11,D$_5$,F1,1,-1.0,Distance,Standard
11,D$_7$,F1,2,-1.0,Distance,Standard
11,D$_{12}$,F1,3,-1.0,Distance,Standard
11,D$_{10}$,F1,4,-0.9999999999999998,Distance,Standard
11,D$_4$,F1,5,-0.999915733656376,Distance,Standard
11,D$_2$,F1,6,-0.9999023625220756,Distance,Standard
11,D$_8$,F1,7,-0.9998203229724376,Distance,Standard
11,D$_6$,F1,8,-0.9997764270439004,Distance,Standard
11,D$_{11}$,F1,9,-0.9933182454098316,Distance,Standard
11,D$_9$,F1,10,-0.9930864078449472,Distance,Standard
11,D$_3$,F1,11,-0.9914636000622292,Distance,Standard
11,D$_1$,F1,12,-0.97690407113221,Distance,Standard
11,Hi$_{mean}$,F1,13,-0.5086729921411853,Baseline,Standard
11,He$_{mean}$,F1,14,-0.2794152710824286,Baseline,Standard
11,He$_{max}$,F1,15,-0.2659095423389319,Baseline,Standard
11,Hi$_{max}$,F1,16,-0.0356317895512828,Baseline,Standard
