Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
2,D$_7$,F1,1,-0.9950459690525182,Distance,Standard
2,D$_{11}$,F1,2,-0.9936773136928908,Distance,Standard
2,D$_3$,F1,3,-0.9899656514903218,Distance,Standard
2,D$_4$,F1,4,-0.989229559689812,Distance,Standard
2,D$_2$,F1,5,-0.9873632930310358,Distance,Standard
2,D$_5$,F1,6,-0.9872577446951414,Distance,Standard
2,D$_6$,F1,7,-0.984969202316032,Distance,Standard
2,D$_{12}$,F1,8,-0.9800659664476096,Distance,Standard
2,D$_{10}$,F1,9,-0.9767876240175326,Distance,Standard
2,D$_8$,F1,10,-0.9365295476779848,Distance,Standard
2,D$_9$,F1,11,-0.812145411478582,Distance,Standard
2,He$_{max}$,F1,12,-0.7005635568895832,Baseline,Standard
2,He$_{mean}$,F1,13,-0.5318107400953389,Baseline,Standard
2,Hi$_{max}$,F1,14,-0.2224555912615339,Baseline,Standard
2,D$_1$,F1,15,-0.1470628562021703,Distance,Standard
2,Hi$_{mean}$,F1,16,-0.0318107400953389,Baseline,Standard
