Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
3,D$_5$,F1,1,-0.9521977263457048,Distance,Standard
3,D$_7$,F1,2,-0.951835126342442,Distance,Standard
3,D$_4$,F1,3,-0.8857604206555278,Distance,Standard
3,D$_{11}$,F1,4,-0.8825122225238318,Distance,Standard
3,D$_9$,F1,5,-0.8465317233727091,Distance,Standard
3,D$_{12}$,F1,6,-0.8373751975599233,Distance,Standard
3,D$_{10}$,F1,7,-0.759118181716725,Distance,Standard
3,D$_8$,F1,8,-0.7418012860618504,Distance,Standard
3,He$_{max}$,F1,9,-0.7005635568895832,Baseline,Standard
3,D$_3$,F1,10,-0.6842461952320883,Distance,Standard
3,He$_{mean}$,F1,11,-0.5318107400953389,Baseline,Standard
3,Hi$_{max}$,F1,12,-0.2224555912615339,Baseline,Standard
3,D$_6$,F1,13,-0.1787114809561974,Distance,Standard
3,D$_2$,F1,14,-0.1565927374498086,Distance,Standard
3,D$_1$,F1,15,-0.1113692664312751,Distance,Standard
3,Hi$_{mean}$,F1,16,-0.0318107400953389,Baseline,Standard
