Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
17,D$_1$,F1,1,-0.9761633588223306,Distance,Standard
17,D$_5$,F1,2,-0.9523001502907968,Distance,Standard
17,He$_{max}$,F1,3,-0.9450431692009916,Baseline,Standard
17,D$_7$,F1,4,-0.9414169133564458,Distance,Standard
17,D$_{12}$,F1,5,-0.941254451648509,Distance,Standard
17,D$_2$,F1,6,-0.937602022087664,Distance,Standard
17,D$_{11}$,F1,7,-0.9350106044395624,Distance,Standard
17,D$_{10}$,F1,8,-0.923775934674008,Distance,Standard
17,D$_8$,F1,9,-0.9204100011833112,Distance,Standard
17,D$_4$,F1,10,-0.9170321853859742,Distance,Standard
17,D$_3$,F1,11,-0.9146344265903446,Distance,Standard
17,D$_6$,F1,12,-0.9083196506910952,Distance,Standard
17,He$_{mean}$,F1,13,-0.8984769252087266,Baseline,Standard
17,D$_9$,F1,14,-0.7618441486586067,Distance,Standard
17,Hi$_{max}$,F1,15,-0.755935552719893,Baseline,Standard
17,Hi$_{mean}$,F1,16,-0.6815781607329187,Baseline,Standard
