Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
1,He$_{mean}$,F1,1,-0.8944132178727923,Baseline,Standard
1,D$_1$,F1,2,-0.8882057666830039,Distance,Standard
1,Hi$_{max}$,F1,3,-0.8633545762177349,Baseline,Standard
1,D$_7$,F1,4,-0.7658324474171696,Distance,Standard
1,Hi$_{mean}$,F1,5,-0.7626235893396333,Baseline,Standard
1,D$_5$,F1,6,-0.7399726807733683,Distance,Standard
1,He$_{max}$,F1,7,-0.7266875005181412,Baseline,Standard
1,D$_{11}$,F1,8,-0.6102160059197681,Distance,Standard
1,D$_{12}$,F1,9,-0.6068526186524089,Distance,Standard
1,D$_4$,F1,10,-0.5967089598527219,Distance,Standard
1,D$_3$,F1,11,-0.5693169437964596,Distance,Standard
1,D$_2$,F1,12,-0.5618412472081027,Distance,Standard
1,D$_{10}$,F1,13,-0.5520470050116029,Distance,Standard
1,D$_6$,F1,14,-0.4625645160257802,Distance,Standard
1,D$_8$,F1,15,-0.4304175371155569,Distance,Standard
1,D$_9$,F1,16,-0.1836389456946272,Distance,Standard
