Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
14,D$_1$,F1,1,-0.8963657700806763,Distance,Standard
14,D$_7$,F1,2,-0.8866675249590424,Distance,Standard
14,D$_5$,F1,3,-0.8808241809544748,Distance,Standard
14,D$_2$,F1,4,-0.8391686045829552,Distance,Standard
14,D$_{12}$,F1,5,-0.8317436625867516,Distance,Standard
14,D$_6$,F1,6,-0.819213196386298,Distance,Standard
14,D$_4$,F1,7,-0.8099948497799319,Distance,Standard
14,D$_{10}$,F1,8,-0.8028939930733413,Distance,Standard
14,D$_{11}$,F1,9,-0.7575457034547084,Distance,Standard
14,D$_3$,F1,10,-0.6998694726545727,Distance,Standard
14,D$_8$,F1,11,-0.6617330265457784,Distance,Standard
14,Hi$_{max}$,F1,12,-0.5413041016907975,Baseline,Standard
14,He$_{max}$,F1,13,-0.4801953594152759,Baseline,Standard
14,He$_{mean}$,F1,14,-0.4275466324505197,Baseline,Standard
14,Hi$_{mean}$,F1,15,-0.3990012764727453,Baseline,Standard
14,D$_9$,F1,16,0.0122996109176568,Distance,Standard
