Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
5,Hi$_{max}$,F1,1,-0.974451497582514,Baseline,Standard
5,He$_{mean}$,F1,2,-0.936806857190357,Baseline,Standard
5,Hi$_{mean}$,F1,3,-0.9297123357916108,Baseline,Standard
5,D$_5$,F1,4,-0.8375825221419063,Distance,Standard
5,D$_1$,F1,5,-0.8102186600400831,Distance,Standard
5,D$_7$,F1,6,-0.7897235038323815,Distance,Standard
5,He$_{max}$,F1,7,-0.7757440630509846,Baseline,Standard
5,D$_{12}$,F1,8,-0.5115451351987365,Distance,Standard
5,D$_{11}$,F1,9,-0.4566321040785075,Distance,Standard
5,D$_{10}$,F1,10,-0.3534476685452988,Distance,Standard
5,D$_3$,F1,11,-0.3317379541706477,Distance,Standard
5,D$_4$,F1,12,-0.3211866149640364,Distance,Standard
5,D$_2$,F1,13,-0.2389710699490599,Distance,Standard
5,D$_6$,F1,14,-0.2044076895801738,Distance,Standard
5,D$_8$,F1,15,-0.1527959947608532,Distance,Standard
5,D$_9$,F1,16,0.6399903731987279,Distance,Standard
