Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
13,D$_8$,F1,1,-0.9942731659982832,Distance,Standard
13,D$_1$,F1,2,-0.990699505368526,Distance,Standard
13,D$_5$,F1,3,-0.9347646374644856,Distance,Standard
13,D$_4$,F1,4,-0.9338645638717336,Distance,Standard
13,D$_{11}$,F1,5,-0.9334515268378734,Distance,Standard
13,D$_2$,F1,6,-0.9326996722369396,Distance,Standard
13,D$_{12}$,F1,7,-0.9299799431626692,Distance,Standard
13,D$_3$,F1,8,-0.9229214711806664,Distance,Standard
13,D$_{10}$,F1,9,-0.919899302200254,Distance,Standard
13,D$_6$,F1,10,-0.9068053651166084,Distance,Standard
13,D$_7$,F1,11,-0.9039056644577848,Distance,Standard
13,He$_{mean}$,F1,12,-0.8728921253494727,Baseline,Standard
13,D$_9$,F1,13,-0.8572677496548815,Distance,Standard
13,He$_{max}$,F1,14,-0.7984207002328281,Baseline,Standard
13,Hi$_{mean}$,F1,15,-0.7956983814146186,Baseline,Standard
13,Hi$_{max}$,F1,16,-0.7451719904090688,Baseline,Standard
