Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
15,D$_7$,F1,1,-0.999001759678428,Distance,Standard
15,D$_5$,F1,2,-0.9990017596784276,Distance,Standard
15,D$_3$,F1,3,-0.999001749678428,Distance,Standard
15,D$_8$,F1,4,-0.999001749678428,Distance,Standard
15,D$_{10}$,F1,5,-0.999001749678428,Distance,Standard
15,D$_{11}$,F1,6,-0.999001749678428,Distance,Standard
15,D$_{12}$,F1,7,-0.999001749678428,Distance,Standard
15,D$_4$,F1,8,-0.999001749678428,Distance,Standard
15,D$_6$,F1,9,-0.999001749678428,Distance,Standard
15,D$_1$,F1,10,-0.9990017496784278,Distance,Standard
15,D$_2$,F1,11,-0.9990017496784278,Distance,Standard
15,He$_{mean}$,F1,12,-0.6486576685783074,Baseline,Standard
15,Hi$_{mean}$,F1,13,-0.6296824321344192,Baseline,Standard
15,He$_{max}$,F1,14,-0.4411729285286518,Baseline,Standard
15,Hi$_{max}$,F1,15,-0.4138054501702723,Baseline,Standard
15,D$_9$,F1,16,0.0007805829872321,Distance,Standard
