Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
18,D$_1$,F1,1,-0.9849450933533412,Distance,Standard
18,He$_{mean}$,F1,2,-0.9366873379015018,Baseline,Standard
18,Hi$_{mean}$,F1,3,-0.8822120975833567,Baseline,Standard
18,D$_2$,F1,4,-0.8224813480435768,Distance,Standard
18,D$_5$,F1,5,-0.8209599031333988,Distance,Standard
18,D$_7$,F1,6,-0.8031775384014461,Distance,Standard
18,D$_4$,F1,7,-0.7927043624687622,Distance,Standard
18,D$_6$,F1,8,-0.7644491310562207,Distance,Standard
18,D$_{12}$,F1,9,-0.7346644351813127,Distance,Standard
18,He$_{max}$,F1,10,-0.7221618412851469,Baseline,Standard
18,D$_{10}$,F1,11,-0.6795423310029026,Distance,Standard
18,D$_{11}$,F1,12,-0.6792080681879639,Distance,Standard
18,Hi$_{max}$,F1,13,-0.611615767673533,Baseline,Standard
18,D$_3$,F1,14,-0.5914049064100897,Distance,Standard
18,D$_8$,F1,15,-0.4906248279827342,Distance,Standard
18,D$_9$,F1,16,-0.4070601767327543,Distance,Standard
