Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
12,D$_5$,F1,1,-0.9819120834037768,Distance,Standard
12,D$_7$,F1,2,-0.973983319126887,Distance,Standard
12,He$_{mean}$,F1,3,-0.965261171069962,Baseline,Standard
12,D$_{12}$,F1,4,-0.9602236343422628,Distance,Standard
12,D$_{10}$,F1,5,-0.9447804825580022,Distance,Standard
12,D$_1$,F1,6,-0.9318402357485028,Distance,Standard
12,D$_2$,F1,7,-0.9281930988268374,Distance,Standard
12,D$_4$,F1,8,-0.9231467209869793,Distance,Standard
12,D$_6$,F1,9,-0.901273471915062,Distance,Standard
12,D$_{11}$,F1,10,-0.8855680652549904,Distance,Standard
12,D$_3$,F1,11,-0.8534458863916121,Distance,Standard
12,D$_8$,F1,12,-0.8472804847201822,Distance,Standard
12,Hi$_{mean}$,F1,13,-0.7970173358595727,Baseline,Standard
12,He$_{max}$,F1,14,-0.6150110034326599,Baseline,Standard
12,D$_9$,F1,15,-0.1631502932401274,Distance,Standard
12,Hi$_{max}$,F1,16,-0.0028617455010108,Baseline,Standard
