Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
4,He$_{mean}$,F1,1,-0.9797250903315192,Baseline,Standard
4,D$_8$,F1,2,-0.8932824685584618,Distance,Standard
4,He$_{max}$,F1,3,-0.8834990059779055,Baseline,Standard
4,D$_{11}$,F1,4,-0.882692536706569,Distance,Standard
4,D$_3$,F1,5,-0.8799939922501985,Distance,Standard
4,D$_2$,F1,6,-0.8702365064064592,Distance,Standard
4,D$_5$,F1,7,-0.8701696622799902,Distance,Standard
4,D$_4$,F1,8,-0.868006981002815,Distance,Standard
4,D$_{12}$,F1,9,-0.8677810717507477,Distance,Standard
4,D$_1$,F1,10,-0.867721714155286,Distance,Standard
4,D$_7$,F1,11,-0.8669136011513111,Distance,Standard
4,D$_{10}$,F1,12,-0.865169712529009,Distance,Standard
4,D$_6$,F1,13,-0.8631897361086223,Distance,Standard
4,D$_9$,F1,14,-0.8331374445135958,Distance,Standard
4,Hi$_{max}$,F1,15,-0.3781974050689002,Baseline,Standard
4,Hi$_{mean}$,F1,16,-0.352190358112912,Baseline,Standard
