Country Block_2,Number of Posts,Percentage of Following,Is Business Account,Class,Is Verified,Is Private,Is Professional Account,Sex,Is Joined Recently,Country Block_1,Number of Followers,Length of Biography,Mean Post Likes,Length of Username,Number of Mutual Followers,Number of Video Posts
0.0,0.5914504774053544,0.7698276327722585,1.0,0,1,1,0,1,0,1,168.05684904462882,51.07374934930687,53.25519923629323,36.53542500353354,81.29379752766137,85.79871609901751
0.0,0.5564489640020823,0.7554949884424725,1.0,1,0,1,0,0,1,0,35.89700243966048,131.27213170187986,72.11889532717845,220.62181447313523,88.04446786871574,4.506760996286175
0.0,0.5699604493378946,0.7271438337998337,0.0,1,1,1,1,0,1,0,72.32308017723142,97.6900967061703,137.0197394658206,97.4850399088455,26.443061233588267,-26.446232653683666
0.0,0.7107065339794503,0.7538361746556926,0.0,1,0,1,0,0,1,0,-63.42723941043575,41.7858514728176,12.240863119654904,95.12437239664224,67.01301082847708,83.9490717376631
0.0,0.6092449728181549,0.8315628348465683,1.0,1,0,0,0,0,1,0,-79.16078146190559,101.78668609614274,90.95005401609336,145.0567068476142,16.073456881845864,67.60659578485945
0.0,0.5693678728214842,0.8515779949805149,0.0,0,1,1,0,1,0,1,30.67545386943263,58.53952480106528,75.47499877277691,0.5101008844693808,77.54206696520515,60.31431700485838
0.0,0.5434383400185637,0.7704108026736658,0.0,1,0,1,0,0,1,0,157.79027172678363,55.75312354151826,180.3714993492158,-103.75612906148342,15.240259948257282,-96.98329841773544
0.0,0.5902906329312269,0.8208769518379392,0.0,0,1,0,1,0,1,1,84.52269036891306,35.49121501854874,61.91283896763875,64.75836784321336,99.63607468641136,85.3338533601175
0.0,0.5284109348311886,0.8030202240659563,0.0,0,1,1,1,0,1,1,-17.05495921501189,24.16084981021772,61.56945630709024,144.6324967396782,92.88116712455307,79.14949819779703
0.0,0.6394352753381817,0.8211115852774854,1.0,1,0,1,0,0,1,0,-33.17991306992151,63.91135092397742,123.95004728104928,185.66719496131952,14.019798239400632,115.47084170329848
0.0,0.6187568742135092,0.7851380235581229,1.0,1,1,1,0,0,1,0,106.76285376919468,123.6840394019775,24.182445189066343,34.02060865392131,36.90357447692668,39.637856551094
0.0,0.640497984700333,0.8089070283558727,0.0,0,1,1,0,0,0,1,36.24623078075883,-69.0342558210407,91.89551577402344,148.02095762054773,90.3862105798743,66.0107727952149
0.0,0.7575453777551631,0.8488750820417525,1.0,1,0,0,0,0,1,1,-40.05567559989049,142.29161687535287,197.0809642072272,112.33214996584186,42.17917720129721,98.38562851332708
0.0,0.5285819618295492,0.8118001326962484,0.0,1,0,1,0,0,1,0,161.80331003435768,129.44617545921454,-81.53272011698215,-44.345971183826265,9.762267927067953,60.285482057852064
