 Persistent EPS in the Last Four Seasons, Net Income to Total Assets, Per Share Net profit before tax (Yuan ¥), Net profit before tax/Paid-in capital, ROA(C) before interest and depreciation before interest, ROA(B) before interest and depreciation after tax, ROA(A) before interest and % after tax, Debt ratio %,Class
16,71,13,13,37,40,42,20,1
20,79,16,16,46,51,53,17,1
18,77,14,14,42,47,49,20,1
19,73,14,14,39,45,45,15,1
21,79,16,16,46,52,53,10,1
17,71,13,13,38,41,41,18,1
16,73,12,12,39,43,44,21,0
22,81,18,17,50,55,57,10,0
21,80,17,17,48,54,54,5,0
21,80,17,17,49,54,55,12,0
21,81,17,17,48,53,56,10,0
20,80,17,17,44,49,54,9,0
21,80,17,17,49,54,55,14,0
21,79,16,16,47,52,53,10,0
22,81,17,17,50,56,57,8,0
22,81,18,17,51,55,57,9,0
22,81,17,17,48,54,56,6,0
23,82,18,18,53,58,59,7,0
22,80,17,17,50,55,55,14,0
21,80,17,17,48,53,54,7,0
21,80,17,17,48,53,54,9,0
22,81,18,18,50,55,56,10,0
22,80,17,17,51,56,56,14,0
21,79,17,17,49,54,54,19,0
22,80,17,17,50,55,56,19,0
20,77,16,15,44,49,50,14,0
22,81,17,17,51,56,56,9,0
22,83,18,18,54,59,59,3,0
22,81,17,17,50,55,56,8,0
17,75,13,13,41,46,47,21,1
20,78,16,16,46,51,53,22,1
21,79,16,16,47,52,54,20,0
22,81,17,17,50,55,57,11,0
21,80,17,17,48,54,54,6,0
21,80,17,17,49,54,55,12,0
21,81,17,17,47,52,56,12,0
20,78,16,16,46,51,51,13,0
21,79,17,17,47,52,54,14,0
21,79,17,16,48,53,53,9,0
21,80,17,17,48,54,54,8,0
22,81,18,18,50,54,57,11,0
22,81,17,17,48,54,56,6,0
22,81,18,18,51,55,56,8,0
22,81,18,18,52,57,57,13,0
22,80,17,17,50,55,55,9,0
22,80,17,17,48,53,54,9,0
22,81,18,18,50,54,56,9,0
22,80,18,18,52,57,56,14,0
21,79,17,17,49,53,55,20,0
21,80,17,17,50,54,55,18,0
21,78,16,16,46,52,52,15,0
22,81,18,17,52,56,56,9,0
22,81,17,17,52,56,56,5,0
22,80,17,17,50,55,55,9,0
20,77,15,15,45,50,51,21,1
20,79,16,16,47,51,53,23,1
8,52,6,7,6,5,5,32,1
17,74,14,14,40,45,46,22,1
21,79,17,16,48,53,54,20,0
22,80,17,17,48,54,55,14,0
21,79,17,16,47,52,53,4,0
21,78,16,16,48,54,51,12,0
21,80,17,17,46,51,54,11,0
21,80,17,17,48,54,55,15,0
21,79,16,16,46,51,52,15,0
21,80,17,17,47,52,54,10,0
20,78,16,16,47,52,51,8,0
22,80,17,17,50,55,55,11,0
21,80,17,17,47,53,54,6,0
22,80,17,17,49,54,54,14,0
23,82,19,18,54,58,58,10,0
22,81,18,18,52,56,56,8,0
21,80,17,17,48,53,54,9,0
23,82,19,18,53,57,58,9,0
22,81,18,18,52,57,56,12,0
21,79,17,17,48,53,54,19,0
22,80,18,18,51,55,56,18,0
21,79,17,17,48,53,54,15,0
23,82,18,18,54,58,58,8,0
22,81,17,17,52,57,56,4,0
22,81,17,17,50,55,56,7,0
19,76,15,15,43,48,49,18,1
21,76,15,15,48,53,48,19,0
21,80,17,17,48,53,54,13,0
21,79,17,16,47,52,53,4,0
21,78,16,16,46,52,52,14,0
22,80,17,17,48,53,55,13,0
21,79,17,16,47,53,54,15,0
21,79,17,16,46,51,53,16,0
21,79,16,16,46,52,52,11,0
20,78,16,16,47,53,51,9,0
22,82,18,18,52,56,57,10,0
22,81,17,17,50,56,56,5,0
21,80,17,17,48,54,54,12,0
22,81,18,18,51,56,56,11,0
23,82,18,18,52,57,58,9,0
21,79,17,17,47,52,53,4,0
22,81,18,18,49,54,57,9,0
22,82,18,18,52,57,57,12,0
22,80,17,17,48,53,54,19,0
22,81,18,18,51,55,56,16,0
21,80,17,17,48,53,54,15,0
